round,centralized_loss,centralized_acc,train_loss,train_acc,avg_delay_s,bytes_mb,clients_used,failures
0,2.3072,0.042,nan,nan,nan,nan,0,0
1,1.9661,0.3968,0.3078,0.8908,1.33,4.23,10,0
2,1.6468,0.3955,0.191,0.9288,0.72,4.23,10,0
3,1.505,0.4651,0.1522,0.9422,1.24,4.23,10,0
4,1.4456,0.4884,0.1301,0.9496,1.51,4.23,10,0
5,1.2925,0.4975,0.1248,0.9505,1.61,4.23,10,0
