strategy,final_acc,final_loss,avg_train_acc_r5,avg_delay_r5_s,total_bytes_r5_mb,total_time_s,straggler_tolerance
Baseline,0.4975,1.2925,0.9505,1.61,4.23,45.02,None (waits for all)
Partial (k=5),0.4188,1.6751,0.9479,1.95,2.12,31.3,None (ignores 5 clients)
Deadline (8s),0.4429,1.3822,0.9476,1.3,4.23,32.4,"Up to any, data lost"
Async (1.5s),0.1103,2.3002,,,,10.47,"Unlimited, data lost"
Erasure Coded,0.4766,2.0224,0.9544,1.5,4.23,35.29,Up to 3 (no data loss)
