round,centralized_loss,centralized_acc,train_loss,train_acc,avg_delay_s,bytes_mb,clients_used,failures
0,2.3084,0.1,nan,nan,nan,nan,0,0
1,2.3084,0.1,nan,nan,nan,nan,0,10
2,2.3667,0.199,0.3073,0.8886,0.49,2.12,5,5
3,1.9164,0.352,0.1722,0.9366,1.05,4.23,10,0
4,1.8214,0.4312,0.1469,0.9464,1.52,4.23,10,0
5,2.0224,0.4766,0.1217,0.9544,1.5,4.23,10,0
