round,centralized_loss,centralized_acc,train_loss,train_acc,avg_delay_s,bytes_mb,clients_used,failures
0,2.3067,0.1,nan,nan,nan,nan,0,0
1,2.1526,0.1291,0.3659,0.8782,1.8,2.12,5,0
2,2.2567,0.2241,0.293,0.8824,0.43,2.12,5,0
3,2.7542,0.3334,0.1887,0.9273,0.7,2.12,5,0
4,1.9005,0.2354,0.1655,0.9423,1.66,2.12,5,0
5,1.6751,0.4188,0.1433,0.9479,1.95,2.12,5,0
